fit 111 | relfit 3.7 | nants: 30 | use-phermn #f | drop-amt 3 | decay-amt 9
fit 131 | relfit 4.366666666666666 | nants: 30 | use-phermn #t | drop-amt 3 | decay-amt 11
fit 100 | relfit 3.3333333333333335 | nants: 30 | use-phermn #f | drop-amt 3 | decay-amt 11
fit 165 | relfit 5.5 | nants: 30 | use-phermn #t | drop-amt 5 | decay-amt 3
fit 105 | relfit 3.5 | nants: 30 | use-phermn #f | drop-amt 5 | decay-amt 3
fit 128 | relfit 4.266666666666667 | nants: 30 | use-phermn #t | drop-amt 5 | decay-amt 5
fit 121 | relfit 4.033333333333333 | nants: 30 | use-phermn #f | drop-amt 5 | decay-amt 5
fit 219 | relfit 7.3 | nants: 30 | use-phermn #t | drop-amt 5 | decay-amt 7
fit 99 | relfit 3.3 | nants: 30 | use-phermn #f | drop-amt 5 | decay-amt 7
fit 135 | relfit 4.5 | nants: 30 | use-phermn #t | drop-amt 5 | decay-amt 9
fit 107 | relfit 3.566666666666667 | nants: 30 | use-phermn #f | drop-amt 5 | decay-amt 9
fit 201 | relfit 6.7 | nants: 30 | use-phermn #t | drop-amt 5 | decay-amt 11
fit 110 | relfit 3.6666666666666665 | nants: 30 | use-phermn #f | drop-amt 5 | decay-amt 11
fit 247 | relfit 8.233333333333333 | nants: 30 | use-phermn #t | drop-amt 7 | decay-amt 3
fit 104 | relfit 3.466666666666667 | nants: 30 | use-phermn #f | drop-amt 7 | decay-amt 3
fit 202 | relfit 6.733333333333333 | nants: 30 | use-phermn #t | drop-amt 7 | decay-amt 5
fit 98 | relfit 3.2666666666666666 | nants: 30 | use-phermn #f | drop-amt 7 | decay-amt 5
fit 210 | relfit 7.0 | nants: 30 | use-phermn #t | drop-amt 7 | decay-amt 7
fit 105 | relfit 3.5 | nants: 30 | use-phermn #f | drop-amt 7 | decay-amt 7
fit 237 | relfit 7.9 | nants: 30 | use-phermn #t | drop-amt 7 | decay-amt 9
fit 94 | relfit 3.1333333333333333 | nants: 30 | use-phermn #f | drop-amt 7 | decay-amt 9
fit 229 | relfit 7.633333333333334 | nants: 30 | use-phermn #t | drop-amt 7 | decay-amt 11
fit 107 | relfit 3.566666666666667 | nants: 30 | use-phermn #f | drop-amt 7 | decay-amt 11
fit 239 | relfit 7.966666666666667 | nants: 30 | use-phermn #t | drop-amt 9 | decay-amt 3
fit 103 | relfit 3.433333333333333 | nants: 30 | use-phermn #f | drop-amt 9 | decay-amt 3
fit 229 | relfit 7.633333333333334 | nants: 30 | use-phermn #t | drop-amt 9 | decay-amt 5
fit 99 | relfit 3.3 | nants: 30 | use-phermn #f | drop-amt 9 | decay-amt 5
fit 183 | relfit 6.1 | nants: 30 | use-phermn #t | drop-amt 9 | decay-amt 7
fit 99 | relfit 3.3 | nants: 30 | use-phermn #f | drop-amt 9 | decay-amt 7
fit 129 | relfit 4.3 | nants: 30 | use-phermn #t | drop-amt 9 | decay-amt 9
fit 107 | relfit 3.566666666666667 | nants: 30 | use-phermn #f | drop-amt 9 | decay-amt 9
fit 233 | relfit 7.766666666666667 | nants: 30 | use-phermn #t | drop-amt 9 | decay-amt 11
fit 111 | relfit 3.7 | nants: 30 | use-phermn #f | drop-amt 9 | decay-amt 11
fit 285 | relfit 9.5 | nants: 30 | use-phermn #t | drop-amt 11 | decay-amt 3
fit 102 | relfit 3.4 | nants: 30 | use-phermn #f | drop-amt 11 | decay-amt 3
fit 202 | relfit 6.733333333333333 | nants: 30 | use-phermn #t | drop-amt 11 | decay-amt 5
fit 106 | relfit 3.533333333333333 | nants: 30 | use-phermn #f | drop-amt 11 | decay-amt 5
fit 267 | relfit 8.9 | nants: 30 | use-phermn #t | drop-amt 11 | decay-amt 7
fit 104 | relfit 3.466666666666667 | nants: 30 | use-phermn #f | drop-amt 11 | decay-amt 7
fit 211 | relfit 7.033333333333333 | nants: 30 | use-phermn #t | drop-amt 11 | decay-amt 9
fit 115 | relfit 3.8333333333333335 | nants: 30 | use-phermn #f | drop-amt 11 | decay-amt 9
fit 194 | relfit 6.466666666666667 | nants: 30 | use-phermn #t | drop-amt 11 | decay-amt 11
fit 89 | relfit 2.966666666666667 | nants: 30 | use-phermn #f | drop-amt 11 | decay-amt 11
fit 328 | relfit 8.2 | nants: 40 | use-phermn #t | drop-amt 3 | decay-amt 3
